exchange_id,exchange_name,met_id,formula,flux,lb,ub,direction
r_4597,Mg(2+) exchange,s_4204,Mg,0.0,-0.001,0.0,zero
r_4600,Ca(2+) exchange,s_4199,Ca,0.0,-0.001,0.0,zero
r_4646,ethyl butanoate exchange,s_4228,C6H12O2,0.0,0.0,1000.0,zero
r_4647,hexyl acetate exchange,s_4229,C8H16O2,0.0,0.0,1000.0,zero
r_4648,ethyl decanoate exchange,s_4230,C12H24O2,0.0,0.0,1000.0,zero
r_4658,propanal exchange,s_4236,C3H6O,0.0,0.0,1000.0,zero
r_4659,propanol exchange,s_4237,C3H8O,0.0,0.0,1000.0,zero
r_4667,methional exchange,s_4242,C4H8OS,0.0,0.0,1000.0,zero
r_4668,methionol exchange,s_4243,C4H10OS,0.0,0.0,1000.0,zero
r_4676,(4-hydroxyphenyl)acetaldehyde exchange,s_4248,C8H8O2,0.0,0.0,1000.0,zero
r_4677,tyrosol exchange,s_4249,C8H10O2,0.0,0.0,1000.0,zero
r_4689,tyrosyl acetate exchange,s_4255,C10H12O3,0.0,0.0,1000.0,zero
r_4692,methionyl acetate exchange,s_4257,C6H12O2S,0.0,0.0,1000.0,zero
r_4695,propyl acetate exchange,s_4259,C5H10O2,0.0,0.0,1000.0,zero
r_4699,ethyl propionate exchange,s_4262,C5H10O2,0.0,0.0,1000.0,zero
r_4709,alkanesulfonate exchange,s_4266,CH3O3SR,0.0,0.0,1000.0,zero
r_4710,taurocholate exchange,s_4268,C26H45NO7S,0.0,0.0,1000.0,zero
r_4727,ethyl-(2S)-lactate exchange,s_4270,C5H10O3,0.0,0.0,1000.0,zero
r_4729,ethyl-(2R)-lactate exchange,s_4272,C5H10O3,0.0,0.0,1000.0,zero
r_4733,monoethyl-succinate exchange,s_4277,C6H9O4,0.0,0.0,1000.0,zero
r_4735,ethyl-benzoate exchange,s_4279,C9H10O2,0.0,0.0,1000.0,zero
r_4739,benzyl-acetate exchange,s_4289,C9H10O2,0.0,0.0,1000.0,zero
r_4741,ethyl-isobutyrate exchange,s_4287,C6H12O2,0.0,0.0,1000.0,zero
r_4743,ethyl-2-methylbutyrate exchange,s_4284,C7H14O2,0.0,0.0,1000.0,zero
r_4780,heme a exchange,s_4332,C49H55FeN4O6,0.0,0.0,1000.0,zero
