state_idx,fe,cp,value
1,5,0,-0.0008010902090483337
1,5,1,-0.0
1,5,2,-0.0
1,6,0,-0.0002556601300001403
1,6,1,-0.0
1,6,2,-0.0
1,7,0,-9.726346738481388e-05
1,7,1,-0.0
1,7,2,-0.0
1,8,0,-4.074769650659206e-05
1,8,1,-0.0
1,8,2,-0.0
1,9,0,-1.8035171777131103e-05
1,9,1,-0.0
1,9,2,-0.0
1,10,0,-8.269088582316448e-06
1,10,1,-0.0
1,10,2,-0.0
1,11,0,-3.8880732693753885e-06
1,11,1,-0.0
1,11,2,-0.0
1,12,0,-1.8643006144751063e-06
1,12,1,-0.0
1,12,2,-0.0
1,13,0,-9.085678612833539e-07
1,13,1,-0.0
1,13,2,0.0
1,14,0,0.0
1,14,1,0.0
1,14,2,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
2,0,0,-0.27501702557356655
2,0,1,-0.32169715943926747
2,0,2,-0.3551070493052683
2,1,0,-0.39235881109253856
2,1,1,-0.4557326017416585
2,1,2,-0.5006155127288433
2,2,0,-0.5439254270979079
2,2,1,-0.5879578397371544
2,2,2,-0.5375067526752184
2,3,0,-0.4773280095338959
2,3,1,-0.15482377308557893
2,3,2,-0.006309924840482535
2,4,0,-0.1685933916436774
2,4,1,-0.0055158636302364795
2,4,2,-0.004888622417853215
2,5,0,-0.007446222834618201
2,5,1,-0.004283691555082696
2,5,2,-0.0038178393543623888
2,6,0,-0.004673915762071311
2,6,1,-0.003383520422573313
2,6,2,-0.0030396727640617464
2,7,0,-0.003394916124424296
2,7,1,-0.002728910669406505
2,7,2,-0.002476715410344611
2,8,0,-0.0026403087973629375
2,8,1,-0.0022526991796865533
2,8,2,-0.0020683422019149326
2,9,0,-0.002150912426288193
2,9,1,-0.0019064277157528416
2,9,2,-0.0017719771924411092
2,10,0,-0.001817029269307826
2,10,1,-0.001655001243980496
2,10,2,-0.0015571677842615484
2,11,0,-0.0015835475958435256
2,11,1,-0.0014728706077907336
2,11,2,-0.0014018717184751115
2,12,0,-0.0014183306541216628
2,12,1,-0.0013413845721278602
2,12,2,-0.0012900361859393187
2,13,0,-0.0013008990392111587
2,13,1,-0.0012469247609388813
2,13,2,-0.8000104238510812
2,14,0,-0.7963942229634452
2,14,1,-0.7975548359586868
2,14,2,-0.798396906916881
2,15,0,-0.7665835698128237
2,15,1,-0.7677697390644941
2,15,2,-0.7686303770120181
2,16,0,-0.7395271140979194
2,16,1,-0.7407316478995001
2,16,2,-0.7416056555021981
2,17,0,-0.7148023133360211
2,17,1,-0.7160195994368184
2,17,2,-0.7169029186464898
3,0,0,-0.1394769465941557
3,0,1,-0.16347691453144558
3,0,2,-0.18070555103382271
3,1,0,-0.19980298010537725
3,1,1,-0.2324636691737785
3,1,2,-0.2555863278406268
3,2,0,-0.2767477403029497
3,2,1,-0.31263218396720033
3,2,2,-0.3331517969217181
3,3,0,-0.34091642553635365
3,3,1,-0.3224634952908207
3,3,2,-0.2892432154737204
3,4,0,-0.33351465837578553
3,4,1,-0.26777233314626064
3,4,2,-0.255370065453376
3,5,0,-0.3118238039710084
3,5,1,-0.2357888000478427
3,5,2,-0.22556864516665512
3,6,0,-0.24334814519601097
3,6,1,-0.21252906122301912
3,6,2,-0.20454251948559105
3,7,0,-0.21189853878747825
3,7,1,-0.1960955759264106
3,7,2,-0.18991757961290173
3,8,0,-0.1936366860414379
3,8,1,-0.18395326479325286
3,8,2,-0.17941196105069937
3,9,0,-0.18143666534551983
3,9,1,-0.17549417444895082
3,9,2,-0.17230214266542596
3,10,0,-0.17348329881364807
3,10,1,-0.16966171210627332
3,10,2,-0.16739591625495692
3,11,0,-0.16815440154893851
3,11,1,-0.16575908980411033
3,11,2,-0.16427398346669733
3,12,0,-0.16478576639117773
3,12,1,-0.16326019833128336
3,12,2,-0.16226431306870656
3,13,0,-0.16265162537446762
3,13,1,-0.16170066046229695
3,13,2,-0.3434134998150908
3,14,0,-0.3426144833399509
3,14,1,-0.3430004541577125
3,14,2,-0.3432822551488451
3,15,0,-0.3364952361845783
3,15,1,-0.33690065884824083
3,15,2,-0.3371965233430755
3,16,0,-0.3311065611772282
3,16,1,-0.33152855877712123
3,16,2,-0.3318364084379721
3,17,0,-0.32633744345305904
3,17,1,-0.32677369700481357
3,17,2,-0.3270918556115021
4,0,0,0.19083903977545633
4,0,1,0.22416519188371845
4,0,2,0.24669904810505275
4,1,0,0.273601329579927
4,1,1,0.3187496668784044
4,1,2,0.34944028215279804
4,2,0,0.3796510802204735
4,2,1,0.4042301906840269
4,2,2,0.3917824961478869
4,3,0,0.3688333763923146
4,3,1,0.2197061766245306
4,3,2,0.1389957769099591
4,4,0,0.23067351818461176
4,4,1,0.12929732818825296
4,4,2,0.12401578131405151
4,5,0,0.1502342346980055
4,5,1,0.11494408874144274
4,5,2,0.11049475084142794
4,6,0,0.11874314122604732
4,6,1,0.10451359058066696
4,6,2,0.10099825837591929
4,7,0,0.10442979202170063
4,7,1,0.097179645084249
4,7,2,0.09460477299792866
4,8,0,0.09617862825147899
4,8,1,0.09216980718729353
4,8,2,0.09032255365654768
4,9,0,0.09115550017796861
4,9,1,0.08868214032950424
4,9,2,0.08735280087296658
4,10,0,0.08784979590703966
4,10,1,0.08626955363837792
4,10,2,0.08533910891616295
4,11,0,0.0856663179010354
4,11,1,0.08463811535633559
4,11,2,0.08399149994432574
