state_idx,fe,cp,value
9,4,0,-0.021580665433703065
9,4,1,-0.0180208993178467
9,4,2,-0.015440977082026287
9,5,0,-0.015779782565123676
9,5,1,-0.013176881581209504
9,5,2,-0.011290442442377615
9,6,0,-0.011538177011618429
9,6,1,-0.009634935812180388
9,6,2,-0.008255571513866512
9,7,0,-0.008436715030895393
9,7,1,-0.007045065065866297
9,7,2,-0.006036473890939191
9,8,0,-0.0061689260305907104
9,8,1,-0.005151351576161436
9,8,2,-0.004413869709054737
9,9,0,-0.0045107187135679265
9,9,1,-0.0037666682724892407
9,9,2,-0.0032274215312608225
9,10,0,-0.003298237523360867
9,10,1,-0.002754187840844132
9,10,2,-0.0023598906236579125
9,11,0,-0.002411671277081466
9,11,1,-0.0020138621492252293
9,11,2,-0.0017255520240186655
9,12,0,-0.0017634140378019673
9,12,1,-0.0014725360035134872
9,12,2,-0.001261723639962448
9,13,0,-0.001289408344440798
9,13,1,-0.0010767183257690616
9,13,2,0.0
9,14,0,-0.0009739904098718131
9,14,1,0.0
9,14,2,0.0
9,15,0,0.0
9,15,1,0.0
9,15,2,0.0
9,16,0,0.0
9,16,1,0.0
9,16,2,0.0
9,17,0,0.0
9,17,1,0.0
9,17,2,0.0
10,0,0,-0.07728614602155524
10,0,1,-0.06604968859957762
10,0,2,-0.05684649113201389
10,1,0,-0.05493020380290645
10,1,1,-0.04586937670119469
10,1,2,-0.03930258872866328
10,2,0,-0.04016496502068519
10,2,1,-0.033539688243913554
10,2,2,-0.028738052878398587
10,3,0,-0.02936862242312499
10,3,1,-0.02452422004394958
10,3,2,-0.021013264264685038
10,4,0,-0.02147433671578899
10,4,1,-0.01793210969613593
10,4,2,-0.015364898830337696
10,5,0,-0.015702035006584906
10,5,1,-0.013111958609814588
10,5,2,-0.01123481402474292
10,6,0,-0.01148132799681488
10,6,1,-0.009587464135496424
10,6,2,-0.008214896014892021
10,7,0,-0.008395147031271038
10,7,1,-0.0070103537758749845
10,7,2,-0.006006731966089045
10,8,0,-0.0061385315092653825
10,8,1,-0.005125970680919787
10,8,2,-0.004392122413604309
10,9,0,-0.004488494239574848
10,9,1,-0.0037481097618885482
10,9,2,-0.0032115199088274707
10,10,0,-0.0032819869879771274
10,10,1,-0.002740617857892906
10,10,2,-0.0023482633573346456
10,11,0,-0.0023997888856088752
10,11,1,-0.002003939777691292
10,11,2,-0.001717050166883093
10,12,0,-0.0017547256331572093
10,12,1,-0.0014652807654478728
10,12,2,-0.0012555070820249173
10,13,0,-0.001283055382964551
10,13,1,-0.0010714132956954842
10,13,2,0.0
10,14,0,-0.0009691915239495777
10,14,1,0.0
10,14,2,0.0
10,15,0,0.0
10,15,1,0.0
10,15,2,0.0
10,16,0,0.0
10,16,1,0.0
10,16,2,0.0
10,17,0,0.0
10,17,1,0.0
10,17,2,0.0
11,0,0,-0.07614891747655272
11,0,1,-0.06318452389437237
11,0,2,-0.05510302291597604
11,1,0,-0.055565860333636245
11,1,1,-0.04640018064587398
11,1,2,-0.03975740129935032
11,2,0,-0.040629757075954814
11,2,1,-0.03392781208826305
11,2,2,-0.029070611830084952
11,3,0,-0.02970847837393816
11,3,1,-0.02480801619893794
11,3,2,-0.021256431370158115
11,4,0,-0.021722839387023577
11,4,1,-0.018139621444663415
11,4,2,-0.015542702617859607
11,5,0,-0.01588374015979164
11,5,1,-0.013263691200337888
11,5,2,-0.011364824154178943
11,6,0,-0.011614190804839645
11,6,1,-0.009698411005687062
11,6,2,-0.008309959421535642
11,7,0,-0.008492296316498745
11,7,1,-0.007091478127358379
11,7,2,-0.0060762423290268595
11,8,0,-0.006209567066623881
11,8,1,-0.0051852888067244465
11,8,2,-0.00444294839098444
11,9,0,-0.004540435439115381
11,9,1,-0.0037914831754769143
11,9,2,-0.003248683863487821
11,10,0,-0.0033199663930811663
11,10,1,-0.0027723324979087188
11,10,2,-0.002375437640982295
11,11,0,-0.0024275594266209483
11,11,1,-0.0020271295224708547
11,11,2,-0.0017369200030862536
11,12,0,-0.001775031452745237
11,12,1,-0.001482237106830689
11,12,2,-0.0012700359062566683
11,13,0,-0.001297902998247317
11,13,1,-0.0010838117725145994
11,13,2,0.0
11,14,0,-0.0009804070825871728
11,14,1,0.0
11,14,2,0.0
11,15,0,0.0
11,15,1,0.0
11,15,2,0.0
11,16,0,0.0
11,16,1,0.0
11,16,2,0.0
11,17,0,0.0
11,17,1,0.0
11,17,2,0.0
12,0,0,-0.008138260467537538
12,0,1,-0.0095180407093941
12,0,2,-0.010484795190647739
12,1,0,-0.011530543003529622
12,1,1,-0.013246745097295934
12,1,2,-0.014416955998673583
12,2,0,-0.020663221659459757
12,2,1,-0.0698952931713528
12,2,2,-0.06820141505335993
12,3,0,-0.053787820406502033
12,3,1,-0.044915431317433134
12,3,2,-0.03848521282813985
12,4,0,-0.039329654281234264
12,4,1,-0.03284216337930709
12,4,2,-0.02814038761993585
12,5,0,-0.02875784321043848
12,5,1,-0.02401418986294934
12,5,2,-0.020576251427697086
12,6,0,-0.02102773495547262
12,6,1,-0.017559175627788554
12,6,2,-0.01504535504393211
12,7,0,-0.015375479799441578
12,7,1,-0.012839269219038989
12,7,2,-0.011001163608123156
12,8,0,-0.011242550829351676
12,8,1,-0.009388073652961305
12,8,2,-0.00804405083025965
12,9,0,-0.008220553166421944
12,9,1,-0.006864559455045305
12,9,2,-0.005881809967085854
12,10,0,-0.006010868475287725
12,10,1,-0.005019365873529126
12,10,2,-0.004300779447933176
12,11,0,-0.004395147029130383
12,11,1,-0.0036701603267244964
