rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_1902,L-methionine exchange,0.0,0.0,0.0,LB,-0.316552699177955,0.316552699177955
r_4556,N-acetyl-L-glutamate exchange,0.0,0.0,1000.0,LB,-0.316552699177955,0.316552699177955
r_4550,L-Methionine S-oxide exchange,0.0,0.0,1000.0,LB,-0.3165526991779549,0.3165526991779549
r_1897,L-isoleucine exchange,0.0,0.0,0.0,LB,-0.31655269917795487,0.31655269917795487
r_1883,L-cysteine exchange,0.0,0.0,0.0,LB,-0.3165526991779545,0.3165526991779545
r_1899,L-leucine exchange,0.0,0.0,0.0,LB,-0.31655269917795437,0.31655269917795437
r_4552,N-acetyl-L-cysteine exchange,0.0,0.0,1000.0,LB,-0.31655269917795403,0.31655269917795403
r_1621,5-aminolevulinate exchange,0.0,0.0,1000.0,LB,-0.07913817479448962,0.07913817479448962
r_2193,myristate exchange,0.0,0.0,1000.0,LB,3.8713970702448635e-15,3.8713970702448635e-15
r_1916,laurate exchange,0.0,0.0,1000.0,LB,3.3122761290908904e-15,3.3122761290908904e-15
r_2055,stearate exchange,0.0,0.0,1000.0,LB,2.7056829536243556e-15,2.7056829536243556e-15
r_1993,palmitate exchange,0.0,0.0,1000.0,LB,2.075879323801361e-15,2.075879323801361e-15
r_1572,2-isopropylmalate exchange,0.0,0.0,1000.0,LB,1.826340649676677e-15,1.826340649676677e-15
r_1598,3-methylbutanal exchange,0.0,0.0,1000.0,LB,1.7676139536830307e-15,1.7676139536830307e-15
r_4743,ethyl-2-methylbutyrate exchange,0.0,0.0,1000.0,LB,1.353092762561371e-15,1.353092762561371e-15
r_1550,(S)-3-methyl-2-oxopentanoate exchange,0.0,0.0,1000.0,LB,1.3180993368362075e-15,1.3180993368362075e-15
r_1577,2-methylbutanal exchange,0.0,0.0,1000.0,LB,1.2887359888393847e-15,1.2887359888393847e-15
r_4667,methional exchange,0.0,0.0,1000.0,LB,1.0513261911096588e-15,1.0513261911096588e-15
r_4555,acetoacetate exchange,0.0,0.0,1000.0,LB,9.534892069666807e-16,9.534892069666807e-16
r_4741,ethyl-isobutyrate exchange,0.0,0.0,1000.0,LB,5.877447605274439e-16,5.877447605274439e-16
r_4658,propanal exchange,0.0,0.0,1000.0,LB,5.324747079938965e-16,5.324747079938965e-16
r_1870,isobutyraldehyde exchange,0.0,0.0,1000.0,LB,5.233879868054578e-16,5.233879868054578e-16
